sender,timestamp,tokenized_message
MerttEka,2024-09-25 06:51:54+00:00,"['ይ', 'ጭው', 'ያድጉ']"
MerttEka,2024-09-25 06:51:27+00:00,"['የ', 'ውጥ', 'ዓዛ', 'ጨ', 'ዎዎ', 'ካ', 'ዘ', 'ያውዱ', 'ጥው', 'ኪ', 'ያ', 'ከገ', 'ኪዎ', 'ይ', 'ው', 'ይደው', 'እዎ', 'ከ', 'እከ', 'ከው', 'ካ', 'እካ', 'ክገ', 'ደ', 'የፈጉ', 'ዕ', 'ዕክ', 'እክዎ', 'ዘዝ', 'ዘዝ', 'ወዳጅዎ', 'ድግ', 'ይ', 'አድ', 'ገ', 'ዘ', 'ግድ', 'ከ', 'ወዱ', 'ወደ', 'ጥፈው', 'ጥ', 'ኪዎ', 'ጥ', 'ገዘ', 'ካያዙ', 'ይ', 'ይ', 'ይ', 'ጭው', 'ያድጉ']"
MerttEka,2024-09-25 06:47:02+00:00,"['የኩኪ', 'ያ', 'ዶ', 'አ', 'አይ', 'እያዳዱ', 'ፅ', 'እያጠ', 'ዙ', 'ጊዜ', 'የጠ', 'ድ', 'ከ', 'እከ', 'ድ', 'ኦ', 'ውጥ', 'ይገ', 'የው', 'ኩኪ', 'ፈ', 'ገ', 'ያዘ', 'አ', 'አ', 'ው', 'አይጨ', 'ጥው', 'ኪ', 'ያ', 'ከገ', 'ኪዎ', 'ይ', 'ው', 'ይደው', 'እዎ', 'ከ', 'እከ', 'ከው', 'ካ', 'እካ', 'ክገ', 'ደ', 'የፈጉ', 'ዕ', 'ዕክ', 'እክዎ', 'ዘዝ', 'ዘዝ', 'ወዳጅዎ', 'ድግ', 'ይ', 'አድ', 'ገ', 'ዘ', 'ግድ', 'ከ', 'ወዱ', 'ወደ', 'ጥፈው', 'ጥ', 'ኪዎ', 'ጥ', 'ገዘ', 'ካያዙ', 'ይ', 'ይ', 'ይ', 'ጭው', 'ያድጉ']"
MerttEka,2024-09-25 06:47:02+00:00,[]
MerttEka,2024-09-25 06:47:02+00:00,[]
MerttEka,2024-09-24 14:48:42+00:00,"['ይ', 'ጭው', 'ያድጉ']"
MerttEka,2024-09-24 14:40:06+00:00,"['የ', 'ድ', 'ኮ', 'ወዘ', 'ጫ', 'ከጢ', 'ው', 'አ', 'ወዘ', 'ፈፅ', 'አያገ', 'የፈጉ', 'አጥፈው', 'ከጢ', 'ውጥ', 'ገ', 'ከዚያ', 'ዚ', 'ገ', 'ዝጋ', 'የአየ', 'ወጫው', 'ከ', 'እጅ', 'እየጫ', 'ውጥ', 'ያው', 'አየ', 'ወጣ', 'ካዎ', 'ዙ', 'አየ', 'ወጫው', 'ገ', 'የውጡ', 'አየ', 'ጠጥ', 'ይ', 'የያጡ', 'የያዘው', 'ይ', 'ጉዞ', 'ጣዎ', 'ውጥ', 'ካ', 'እዲይዙ', 'ይዳዎ', 'ኮ', 'ድ', 'ዎ', 'ጥ', 'አድገው', 'ጥዎ', 'ጥ', 'ይዳዎ', 'ከጢ', 'ይ', 'አዱ', 'ጥው', 'ኪ', 'ያ', 'ከገ', 'ኪዎ', 'ይ', 'ው', 'ይደው', 'እዎ', 'ከ', 'እከ', 'ከው', 'ካ', 'እካ', 'ክገ', 'ደ', 'የፈጉ', 'ዕ', 'ዕክ', 'እክዎ', 'ዘዝ', 'ዘዝ', 'ወዳጅዎ', 'ድግ', 'ይ', 'አድ', 'ገ', 'ዘ', 'ግድ', 'ከ', 'ወዱ', 'ወደ', 'ጥፈው', 'ጥ', 'ኪዎ', 'ጥ', 'ገዘ', 'ካያዙ', 'ይ', 'ይ', 'ይ', 'ጭው', 'ያድጉ']"
MerttEka,2024-09-24 14:40:06+00:00,[]
MerttEka,2024-09-24 14:40:06+00:00,[]
MerttEka,2024-09-24 12:33:48+00:00,[]
MerttEka,2024-09-24 12:33:48+00:00,[]
MerttEka,2024-09-24 12:33:48+00:00,"['ወድ', 'የይ', 'ከአክክ', 'የ', 'የው', 'ጆግ', 'ይይዛ', 'አዱ', 'ጥው', 'ኪ', 'ያ', 'ከገ', 'ኪዎ', 'ይ', 'ው', 'ይደው', 'እዎ', 'ከ', 'እከ', 'ከው', 'ካ', 'እካ', 'ክገ', 'ደ', 'የፈጉ', 'ዕ', 'ዕክ', 'እክዎ', 'ዘዝ', 'ዘዝ', 'ወዳጅዎ', 'ድግ', 'ይ', 'አድ', 'ገ', 'ዘ', 'ግድ', 'ከ', 'ወዱ', 'ወደ', 'ጥፈው', 'ጥ', 'ኪዎ', 'ጥ', 'ገዘ', 'ካያዙ', 'ይ', 'ይ', 'ይ', 'ጭው', 'ያድጉ']"
MerttEka,2024-09-24 06:05:30+00:00,[]
MerttEka,2024-09-24 06:05:30+00:00,[]
MerttEka,2024-09-24 06:05:30+00:00,"['ከወ', 'አየ', 'የ', 'ድ', 'እ', 'ው', 'ድጃ', 'ይ', 'የጣድ', 'ጥው', 'ኪ', 'ያ', 'ከገ', 'ኪዎ', 'ይ', 'ው', 'ይደው', 'እዎ', 'ከ', 'እከ', 'ከው', 'ካ', 'እካ', 'ክገ', 'ደ', 'የፈጉ', 'ዕ', 'ዕክ', 'እክዎ', 'ዘዝ', 'ዘዝ', 'ወዳጅዎ', 'ድግ', 'ይ', 'አድ', 'ገ', 'ዘ', 'ግድ', 'ከ', 'ወዱ', 'ወደ', 'ጥፈው', 'ጥ', 'ኪዎ', 'ጥ', 'ገዘ', 'ካያዙ', 'ይ', 'ይ', 'ይ', 'ጭው', 'ያድጉ']"
MerttEka,2024-09-23 15:08:08+00:00,[]
MerttEka,2024-09-23 15:08:08+00:00,[]
